Data generating values,n,ate,sd,bias,sd_bias
"n = 500, SD = 1",500,49.99410481,0.574916194,-0.005895188,0.574916194
"n = 500, SD = 1",244,49.89518719,0.943312758,-0.104812808,0.943312758
"n = 500, SD = 1",244,49.84863064,1.05991955,-0.151369355,1.05991955
"n = 500, SD = 45",500,49.91357986,4.169137723,-0.086420136,4.169137723
"n = 500, SD = 45",258,49.48339716,6.06592178,-0.516602837,6.06592178
"n = 500, SD = 45",258,49.35759627,6.228547751,-0.64240373,6.228547751
"n = 2000, SD = 1",2000,49.9911631,0.229782953,-0.008836899,0.229782953
"n = 2000, SD = 1",997,49.99260629,0.325863276,-0.007393708,0.325863276
"n = 2000, SD = 1",997,49.97350221,0.357685669,-0.026497792,0.357685669
"n = 2000, SD = 45",2000,49.98371399,2.066755729,-0.016286011,2.066755729
"n = 2000, SD = 45",1003,50.01475447,2.923344065,0.014754466,2.923344065
"n = 2000, SD = 45",1003,49.92976137,3.083605925,-0.070238629,3.083605925
