"Data generating values","n","ate","sd","bias"
"n = 500, SD = 23",500,49.8072281076803,2.26161807343679,-0.192771892319669
"n = 500, SD = 23",244,49.6704006832214,3.24972515065061,-0.329599316778591
"n = 500, SD = 23",244,49.6247401145021,3.40509437963626,-0.375259885497938
"n = 500, SD = 68",500,49.7767886540857,6.40231202083579,-0.223211345914281
"n = 500, SD = 68",258,49.1086936295373,8.97713505121683,-0.891306370462677
"n = 500, SD = 68",258,48.9484199775977,9.20506444319775,-1.05158002240232
"n = 2000, SD = 23",2000,50.0012244296825,1.04688898856556,0.00122442968249214
"n = 2000, SD = 23",997,49.995622661645,1.5441346814647,-0.00437733835499253
"n = 2000, SD = 23",997,49.9671932021736,1.66834518366886,-0.0328067978264141
"n = 2000, SD = 68",2000,49.9487720632561,3.05510073908064,-0.0512279367438723
"n = 2000, SD = 68",1003,49.9209668733928,4.45590720643545,-0.079033126607233
"n = 2000, SD = 68",1003,49.8076181659636,4.55858264284259,-0.19238183403636
