Data generating values,n,ate,sd,bias
"n = 500, SD = 1",500,50.099,1.508,0.099
"n = 500, SD = 1",244,49.996,1.889,-0.004
"n = 500, SD = 1",244,49.942,3.108,-0.058
"n = 500, SD = 45",500,50.145,4.201,0.145
"n = 500, SD = 45",258,50.135,6.041,0.135
"n = 500, SD = 45",258,50.066,7.262,0.066
"n = 2000, SD = 1",2000,49.981,0.741,-0.019
"n = 2000, SD = 1",997,49.992,0.904,-0.008
"n = 2000, SD = 1",997,49.977,1.530,-0.023
"n = 2000, SD = 45",2000,50.045,2.144,0.045
"n = 2000, SD = 45",1003,50.140,2.971,0.140
"n = 2000, SD = 45",1003,50.131,3.566,0.131
