"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,50.0988103303613,1.498351947172,0.0988103303613439
"n = 500, SD = 1",244,49.9939065625802,1.87281244244621,-0.00609343741981269
"n = 500, SD = 1",244,49.9939065625802,1.87281244244621,-0.00609343741981252
"n = 500, SD = 45",500,50.1436142073049,4.19824560064381,0.143614207304863
"n = 500, SD = 45",258,50.1319487521095,6.03995891478233,0.131948752109458
"n = 500, SD = 45",258,50.1319487521095,6.03995891478233,0.131948752109458
"n = 2000, SD = 1",2000,49.9805249529197,0.739650195943206,-0.01947504708029
"n = 2000, SD = 1",997,49.9925551218971,0.902482863703955,-0.00744487810290747
"n = 2000, SD = 1",997,49.9925551218971,0.902482863703954,-0.00744487810290789
"n = 2000, SD = 45",2000,50.0449917271194,2.1434285430896,0.0449917271193605
"n = 2000, SD = 45",1003,50.1405598977843,2.96999894115208,0.140559897784338
"n = 2000, SD = 45",1003,50.1405598977843,2.96999894115208,0.140559897784338
