"Data generating values","n","ate","sd","bias","sd_bias"
"n = 500, SD = 1",500,49.9082238854651,1.02175610436,-0.0917761145348652,1.02175610436
"n = 500, SD = 1",244,49.5428546605355,1.89444571252803,-0.457145339464517,1.89444571252803
"n = 500, SD = 1",244,49.4863631110868,2.54907605456356,-0.51363688891316,2.54907605456356
"n = 500, SD = 45",500,48.0007131837312,5.26633779051881,-1.99928681626879,5.26633779051881
"n = 500, SD = 45",258,45.3653163472388,8.77675324750833,-4.63468365276116,8.77675324750833
"n = 500, SD = 45",258,45.1564215567594,9.56813233837675,-4.84357844324059,9.56813233837675
"n = 2000, SD = 1",2000,49.9888469153453,0.32222929344298,-0.0111530846546938,0.32222929344298
"n = 2000, SD = 1",997,49.9890892748436,0.541302078122642,-0.0109107251563797,0.541302078122642
"n = 2000, SD = 1",997,49.9721036152333,0.804733718112399,-0.0278963847666781,0.804733718112399
"n = 2000, SD = 45",2000,48.056225420127,2.12673149538667,-1.94377457987302,2.12673149538667
"n = 2000, SD = 45",1003,48.9465808513019,3.1833732449319,-1.0534191486981,3.1833732449319
"n = 2000, SD = 45",1003,48.8132909843954,3.62761759745544,-1.18670901560465,3.62761759745544
