"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,47.1762072591047,1.20147751963564,-2.82379274089532
"n = 500, SD = 1",244,45.2241308521933,1.91854281320839,-4.77586914780673
"n = 500, SD = 1",244,44.8788052748514,2.25499617092432,-5.12119472514856
"n = 500, SD = 45",500,45.5808717276176,4.57316806069346,-4.41912827238237
"n = 500, SD = 45",258,41.9523587723217,7.00291800951059,-8.04764122767835
"n = 500, SD = 45",258,41.584697706176,7.4327605525885,-8.415302293824
"n = 2000, SD = 1",2000,49.0473534075698,0.401445776939646,-0.952646592430169
"n = 2000, SD = 1",997,48.4219194026088,0.620504304768873,-1.57808059739118
"n = 2000, SD = 1",997,48.2479220259478,0.833414644670323,-1.75207797405222
"n = 2000, SD = 45",2000,48.6349643860348,2.13836771040321,-1.36503561396517
"n = 2000, SD = 45",1003,47.7236800021663,3.08194916519617,-2.27631999783373
"n = 2000, SD = 45",1003,47.5200865171259,3.45603668414721,-2.47991348287407
