"Data generating values","n","ate","sd","bias","sd_bias"
"n = 500, SD = 1",500,48.6904943115625,0.80807630980372,-1.30950568843754,0.80807630980372
"n = 500, SD = 1",244,48.4282951089742,1.35748188605435,-1.57170489102583,1.35748188605435
"n = 500, SD = 1",244,48.1954099140491,1.63512138932062,-1.80459008595093,1.63512138932062
"n = 500, SD = 45",500,48.1135438798557,4.57679011028039,-1.88645612014427,4.57679011028039
"n = 500, SD = 45",258,47.909396716533,6.32497062149472,-2.09060328346705,6.32497062149472
"n = 500, SD = 45",258,47.8237578421564,6.43507606159085,-2.1762421578436,6.43507606159085
"n = 2000, SD = 1",2000,49.5389014854837,0.239524908790272,-0.461098514516316,0.239524908790272
"n = 2000, SD = 1",997,49.3220733161522,0.423220469201867,-0.677926683847822,0.423220469201867
"n = 2000, SD = 1",997,49.1747844169023,0.567777268737736,-0.825215583097668,0.567777268737736
"n = 2000, SD = 45",2000,49.2392968454843,2.12340616340167,-0.760703154515653,2.12340616340167
"n = 2000, SD = 45",1003,48.9471735334761,3.00374800653138,-1.05282646652391,3.00374800653138
"n = 2000, SD = 45",1003,48.8668244050006,3.11323721878774,-1.1331755949994,3.11323721878774
