"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.3953973772202,0.884037509004476,-1.60460262277985
"n = 500, SD = 1",244,47.42006102611,1.40040789463173,-2.57993897388996
"n = 500, SD = 1",244,46.9380137902679,1.82637002381215,-3.06198620973206
"n = 500, SD = 45",500,47.1340871571045,4.28608279943094,-2.86591284289551
"n = 500, SD = 45",258,46.6584060999779,6.81910785856187,-3.34159390002212
"n = 500, SD = 45",258,46.2142087992722,7.64748912233011,-3.78579120072782
"n = 2000, SD = 1",2000,49.6872146895332,0.258004761776101,-0.312785310466766
"n = 2000, SD = 1",997,49.2589189878259,0.445626352247342,-0.741081012174138
"n = 2000, SD = 1",997,48.9238496498032,0.638417626951536,-1.07615035019684
"n = 2000, SD = 45",2000,48.7481320710917,2.10412161898501,-1.25186792890835
"n = 2000, SD = 45",1003,47.9024135086952,2.98035225895611,-2.09758649130483
"n = 2000, SD = 45",1003,47.9024127375298,2.98035230818531,-2.09758726247025
