"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.8672051869038,2.42786218451396,-0.132794813096226
"n = 500, SD = 1",301,53.3425777715915,2.89925538681925,3.34257777159147
"n = 500, SD = 1",301,53.5216599301354,2.96515679981903,3.52165993013543
"n = 500, SD = 45",500,49.7288965867293,4.7072508624729,-0.271103413270735
"n = 500, SD = 45",281,52.9634634496307,6.07698609851004,2.96346344963073
"n = 500, SD = 45",281,53.0623351252038,6.121007463448,3.06233512520376
"n = 2000, SD = 1",2000,49.9610986568204,1.23775671883614,-0.0389013431795549
"n = 2000, SD = 1",1194,53.4075631301041,1.52506567313639,3.40756313010409
"n = 2000, SD = 1",1194,53.6288307955509,1.61804048735371,3.62883079555091
"n = 2000, SD = 45",2000,49.8617793625342,2.37366630871717,-0.138220637465757
"n = 2000, SD = 45",1187,53.4142576226214,2.97581262628001,3.4142576226214
"n = 2000, SD = 45",1187,53.5925245294048,3.01196149107871,3.59252452940479
