"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.9624530518603,0.586028771335951,-0.0375469481397432
"n = 500, SD = 1",248,49.9269219977587,0.920304434982173,-0.0730780022413037
"n = 500, SD = 1",248,49.8647457291534,1.06906375829395,-0.135254270846589
"n = 500, SD = 45",500,49.8244528375991,4.1043311987228,-0.175547162400851
"n = 500, SD = 45",231,49.3842931936462,5.89966117999336,-0.615706806353787
"n = 500, SD = 45",231,49.2587034601573,6.11428305261388,-0.741296539842675
"n = 2000, SD = 1",2000,49.9938403607429,0.233041743548438,-0.00615963925713274
"n = 2000, SD = 1",1023,49.9824817551647,0.32460176068298,-0.0175182448353014
"n = 2000, SD = 1",1023,49.976087565373,0.344310578444995,-0.0239124346269563
"n = 2000, SD = 45",2000,49.9255832883578,2.12792475936315,-0.0744167116422247
"n = 2000, SD = 45",1005,49.8666467946713,3.01918485000374,-0.13335320532866
"n = 2000, SD = 45",1005,49.8133073298305,3.17309823318125,-0.186692670169503
