"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.7958643880268,2.35228025483673,-0.204135611973232
"n = 500, SD = 1",248,49.7520881509245,3.08944498229774,-0.247911849075538
"n = 500, SD = 1",248,49.7543231592719,3.15046753436373,-0.245676840728067
"n = 500, SD = 45",500,49.7350790579442,4.57396480886061,-0.264920942055802
"n = 500, SD = 45",231,49.3948184748829,6.44731231840821,-0.605181525117112
"n = 500, SD = 45",231,49.4080729105673,6.51376035892715,-0.591927089432672
"n = 2000, SD = 1",2000,50.0297082053369,1.16664361626825,0.0297082053369331
"n = 2000, SD = 1",1023,49.9855959063318,1.53785198681521,-0.0144040936682195
"n = 2000, SD = 1",1023,49.9985473934157,1.6032570381409,-0.00145260658429422
"n = 2000, SD = 45",2000,50.0161931743931,2.43291027084068,0.0161931743931095
"n = 2000, SD = 45",1005,49.9307419492681,3.30780749712429,-0.0692580507318742
"n = 2000, SD = 45",1005,49.9462532158059,3.36360516169112,-0.0537467841941148
