"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.9834008475883,0.575566241348431,-0.016599152411689
"n = 500, SD = 1",298,50.2367470295905,0.875148751779416,0.236747029590521
"n = 500, SD = 1",298,50.2675366328063,0.929416545356953,0.267536632806347
"n = 500, SD = 45",500,49.4863490227926,4.19220316214972,-0.513650977207373
"n = 500, SD = 45",301,50.3621932453371,5.44346495449418,0.362193245337095
"n = 500, SD = 45",301,50.466029823469,5.45294371515011,0.46602982346902
"n = 2000, SD = 1",2000,50.0011859883994,0.225770577054404,0.00118598839935525
"n = 2000, SD = 1",1227,50.1155020293572,0.320047364009373,0.115502029357226
"n = 2000, SD = 1",1227,50.1219185426271,0.335828099890223,0.121918542627089
"n = 2000, SD = 45",2000,50.0288580379412,2.05876089415436,0.0288580379412004
"n = 2000, SD = 45",1210,50.6021413010779,2.7366940215688,0.602141301077895
"n = 2000, SD = 45",1210,50.6631243716195,2.78647560660821,0.66312437161953
