"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.9961434006332,0.0920393120285343,-0.00385659936677646
"n = 500, SD = 1",248,49.9940500631665,0.130297403990527,-0.00594993683351313
"n = 500, SD = 1",248,49.9940500631665,0.130297403990527,-0.00594993683351314
"n = 500, SD = 45",500,50.0551950100447,3.93665296440095,0.055195010044725
"n = 500, SD = 45",231,50.0000250469351,5.64605912112898,0.0000250469351449216
"n = 500, SD = 45",231,50.0000250469351,5.64605912112898,0.0000250469351449216
"n = 2000, SD = 1",2000,49.9994189013432,0.0447854795365853,-0.000581098656758797
"n = 2000, SD = 1",1023,49.9978393279357,0.0627389412827946,-0.00216067206432601
"n = 2000, SD = 1",1023,49.9978393279357,0.0627389412827946,-0.00216067206432601
"n = 2000, SD = 45",2000,49.9626925214703,2.08141461576773,-0.0373074785297242
"n = 2000, SD = 45",1005,50.0091132360108,2.95049416777959,0.00911323601075731
"n = 2000, SD = 45",1005,50.0091132360108,2.95049416777959,0.00911323601075731
