"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.9983172145694,0.0921518483675539,-0.00168278543061552
"n = 500, SD = 1",298,49.9966857402991,0.124017859482725,-0.00331425970088885
"n = 500, SD = 1",298,49.9966857402991,0.124017859482725,-0.00331425970088879
"n = 500, SD = 45",500,49.7475464306224,3.98174582321543,-0.252453569377569
"n = 500, SD = 45",301,49.6502343949333,5.19119535239252,-0.349765605066738
"n = 500, SD = 45",301,49.6502343949333,5.19119535239252,-0.349765605066738
"n = 2000, SD = 1",2000,50.0008430520158,0.044308208980883,0.000843052015777033
"n = 2000, SD = 1",1227,49.999808846029,0.0612704971676848,-0.000191153970954701
"n = 2000, SD = 1",1227,49.999808846029,0.0612704971676848,-0.000191153970954701
"n = 2000, SD = 45",2000,50.0896311241303,1.99860806392112,0.0896311241302661
"n = 2000, SD = 45",1210,50.1443588830183,2.63050664918368,0.144358883018325
"n = 2000, SD = 45",1210,50.1443588830183,2.63050664918368,0.144358883018325
