"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.8647995441127,2.45761877416587,-0.135200455887345
"n = 500, SD = 1",298,60.782675172007,3.01671103908095,10.782675172007
"n = 500, SD = 1",298,60.782675172007,3.01671103908096,10.782675172007
"n = 500, SD = 45",500,49.8527633175804,4.85510771442861,-0.147236682419552
"n = 500, SD = 45",301,60.6456291858668,5.84606792523477,10.6456291858668
"n = 500, SD = 45",301,60.6456291858668,5.84606792523477,10.6456291858668
"n = 2000, SD = 1",2000,50.0258855118945,1.19185007868077,0.0258855118945451
"n = 2000, SD = 1",1227,60.9312319606715,1.51461446516782,10.9312319606715
"n = 2000, SD = 1",1227,60.9312319606715,1.51461446516782,10.9312319606715
"n = 2000, SD = 45",2000,50.0254526428884,2.32512955806192,0.0254526428883845
"n = 2000, SD = 45",1210,60.9326304931725,3.02332524900157,10.9326304931725
"n = 2000, SD = 45",1210,60.9326304931725,3.02332524900157,10.9326304931725
