"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,50.0682927358843,2.46531632588658,0.0682927358842812
"n = 500, SD = 1",301,54.2363997719279,2.99161445254774,4.23639977192791
"n = 500, SD = 1",301,54.2363997719279,2.99161445254774,4.23639977192791
"n = 500, SD = 45",500,49.9716615443333,4.74399864655209,-0.0283384556666911
"n = 500, SD = 45",281,53.9868822624561,6.13569537562305,3.98688226245612
"n = 500, SD = 45",281,53.9868822624561,6.13569537562305,3.98688226245612
"n = 2000, SD = 1",2000,49.9929084224683,1.31192365181688,-0.0070915775317024
"n = 2000, SD = 1",1194,54.0871636563082,1.58536857631853,4.08716365630821
"n = 2000, SD = 1",1194,54.0871636563082,1.58536857631853,4.08716365630821
"n = 2000, SD = 45",2000,49.880877900492,2.38084669751841,-0.119122099507997
"n = 2000, SD = 45",1187,54.055331739212,2.96579869859359,4.05533173921202
"n = 2000, SD = 45",1187,54.055331739212,2.96579869859359,4.05533173921202
