"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.8545748376246,2.67288978768097,-0.145425162375395
"n = 500, SD = 1",298,61.0847346468504,3.26555951408199,11.0847346468504
"n = 500, SD = 1",298,61.0847346468504,3.26555951408199,11.0847346468504
"n = 500, SD = 45",500,49.9246280044285,5.01041684815069,-0.0753719955715374
"n = 500, SD = 45",301,60.9459553957571,5.99231805431098,10.9459553957571
"n = 500, SD = 45",301,60.9459553957571,5.99231805431098,10.9459553957571
"n = 2000, SD = 1",2000,50.0479894619801,1.33399836507155,0.0479894619801201
"n = 2000, SD = 1",1227,61.2625531108463,1.65205050757998,11.2625531108463
"n = 2000, SD = 1",1227,61.2625531108463,1.65205050757998,11.2625531108463
"n = 2000, SD = 45",2000,49.9924559701581,2.40732499162591,-0.00754402984194758
"n = 2000, SD = 45",1210,61.2151561769856,3.09207867373074,11.2151561769856
"n = 2000, SD = 45",1210,61.2151561769856,3.09207867373074,11.2151561769856
