"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,50.0284690155581,1.4506107685927,0.0284690155580802
"n = 500, SD = 1",301,50.8717477966244,1.7745553532664,0.871747796624365
"n = 500, SD = 1",301,50.8717477966244,1.7745553532664,0.871747796624365
"n = 500, SD = 45",500,50.0315429088698,4.29065322533898,0.0315429088697779
"n = 500, SD = 45",281,50.6876022655139,5.52209991050927,0.687602265513943
"n = 500, SD = 45",281,50.6876022655139,5.52209991050927,0.687602265513943
"n = 2000, SD = 1",2000,49.9855915876802,0.762371489456255,-0.0144084123197804
"n = 2000, SD = 1",1194,50.8454294543873,0.89876775821438,0.845429454387293
"n = 2000, SD = 1",1194,50.8454294543873,0.89876775821438,0.845429454387293
"n = 2000, SD = 45",2000,49.8839380934183,2.15334986092388,-0.116061906581706
"n = 2000, SD = 45",1187,50.8171960264898,2.70417925525133,0.817196026489758
"n = 2000, SD = 45",1187,50.8171960264898,2.70417925525133,0.817196026489758
