"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,50.0999759624897,2.72950233471691,0.0999759624897209
"n = 500, SD = 1",301,54.4123371686576,3.24202630718362,4.41233716865764
"n = 500, SD = 1",301,54.4123371686576,3.24202630718362,4.41233716865764
"n = 500, SD = 45",500,50.0322750261308,4.91045753987433,0.0322750261307842
"n = 500, SD = 45",281,54.1893411492385,6.2121078204783,4.1893411492385
"n = 500, SD = 45",281,54.1893411492385,6.2121078204783,4.1893411492385
"n = 2000, SD = 1",2000,49.9769350581491,1.47184879693867,-0.0230649418509264
"n = 2000, SD = 1",1194,54.288338338082,1.72247231808884,4.28833833808197
"n = 2000, SD = 1",1194,54.288338338082,1.72247231808884,4.28833833808197
"n = 2000, SD = 45",2000,49.8634998520814,2.42085133569308,-0.136500147918607
"n = 2000, SD = 45",1187,54.2522611855587,3.01298542854668,4.25226118555866
"n = 2000, SD = 45",1187,54.2522611855587,3.01298542854668,4.25226118555866
