"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.8866376374762,0.951951233883532,-0.113362362523763
"n = 500, SD = 1",248,45.3963629945824,1.85506210459176,-4.60363700541756
"n = 500, SD = 1",248,45.1096006335224,2.21475955129935,-4.89039936647761
"n = 500, SD = 45",500,44.8749530517782,4.53148962087115,-5.12504694822175
"n = 500, SD = 45",231,41.5415084270362,6.96171052948855,-8.45849157296376
"n = 500, SD = 45",231,41.2029669005758,7.5113702968485,-8.79703309942417
"n = 2000, SD = 1",2000,50.0073031244415,0.326571581645171,0.00730312444154802
"n = 2000, SD = 1",1023,50.006136656074,0.575125789193722,0.0061366560739724
"n = 2000, SD = 1",1023,50.0154739730117,0.819048153850883,0.0154739730116744
"n = 2000, SD = 45",2000,47.9929526805808,2.18528650597211,-2.00704731941918
"n = 2000, SD = 45",1005,48.8390279262094,3.26210794248797,-1.16097207379064
"n = 2000, SD = 45",1005,48.7677715603823,3.69402787160674,-1.23222843961775
