"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.9207850793407,2.39322690772208,-0.0792149206593173
"n = 500, SD = 1",248,47.8655614206706,3.16989287335062,-2.13443857932936
"n = 500, SD = 1",248,47.8019653862894,3.3596541150469,-2.19803461371055
"n = 500, SD = 45",500,47.732532022839,4.7668466089126,-2.26746797716101
"n = 500, SD = 45",231,45.4745735912053,7.239972192818,-4.52542640879473
"n = 500, SD = 45",231,45.4107098258172,7.51069989224838,-4.58929017418275
"n = 2000, SD = 1",2000,50.0409993862964,1.17296307042197,0.0409993862964388
"n = 2000, SD = 1",1023,50.0520648519606,1.5961772699123,0.0520648519605921
"n = 2000, SD = 1",1023,50.059127003503,1.8315172888513,0.0591270035030289
"n = 2000, SD = 45",2000,49.2966233439894,2.40770127570007,-0.703376656010635
"n = 2000, SD = 45",1005,49.7359074996994,3.36435132534885,-0.264092500300643
"n = 2000, SD = 45",1005,49.7774326507571,3.52944012009547,-0.222567349242874
