"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.8932719653194,0.985761613842651,-0.106728034680578
"n = 500, SD = 1",298,51.5460240207647,1.75296192630515,1.54602402076474
"n = 500, SD = 1",298,52.0340449674422,2.0414408616609,2.03404496744223
"n = 500, SD = 45",500,44.5430253296458,4.66761600830277,-5.4569746703542
"n = 500, SD = 45",301,44.3658003914534,6.10944565704867,-5.63419960854658
"n = 500, SD = 45",301,44.5991501634954,6.24942589347748,-5.4008498365046
"n = 2000, SD = 1",2000,50.0051504088471,0.33320305932521,0.00515040884710123
"n = 2000, SD = 1",1227,51.0989232394556,0.564547480179216,1.09892323945563
"n = 2000, SD = 1",1227,51.4827876234433,0.672076685201959,1.48278762344333
"n = 2000, SD = 45",2000,48.0751137871136,2.08186363234099,-1.92488621288638
"n = 2000, SD = 45",1210,50.4192734002569,2.95309074852093,0.41927340025694
"n = 2000, SD = 45",1210,50.7596712534917,3.1126254457744,0.759671253491747
