"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.9253309247079,2.35703237673169,-0.0746690752921386
"n = 500, SD = 1",298,59.4118921977944,3.04977631355544,9.41189219779435
"n = 500, SD = 1",298,59.9176648544126,3.17175013447557,9.91766485441256
"n = 500, SD = 45",500,47.6029316817143,5.05919869285208,-2.39706831828569
"n = 500, SD = 45",301,55.6903617056501,6.06476010268096,5.69036170565014
"n = 500, SD = 45",301,56.0294251521056,6.13868172994032,6.0294251521056
"n = 2000, SD = 1",2000,50.0485098849692,1.12411134417971,0.0485098849691934
"n = 2000, SD = 1",1227,59.1025175187284,1.52989968003756,9.10251751872839
"n = 2000, SD = 1",1227,59.9198609230866,1.61479705189187,9.91986092308656
"n = 2000, SD = 45",2000,49.2367778409521,2.33508003025231,-0.763222159047905
"n = 2000, SD = 45",1210,59.1104749943255,3.09459962272358,9.11047499432554
"n = 2000, SD = 45",1210,59.7942741331538,3.15211264635036,9.79427413315377
