"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.6227016278997,0.785641411891689,-1.37729837210035
"n = 500, SD = 1",248,48.3251727370619,1.27072764049629,-1.67482726293811
"n = 500, SD = 1",248,47.9636350258192,1.53938801858006,-2.03636497418078
"n = 500, SD = 45",500,48.3521095468294,4.21513904097932,-1.64789045317059
"n = 500, SD = 45",231,48.2263771613014,6.07808972063906,-1.77362283869865
"n = 500, SD = 45",231,47.8298361041801,6.20503941149975,-2.17016389581992
"n = 2000, SD = 1",2000,49.5477524839217,0.245715203476691,-0.452247516078347
"n = 2000, SD = 1",1023,49.3038778983045,0.431776429385558,-0.696122101695473
"n = 2000, SD = 1",1023,49.131793735679,0.594852786798735,-0.868206264320951
"n = 2000, SD = 45",2000,49.09764853632,2.14254381320428,-0.902351463680031
"n = 2000, SD = 45",1005,48.9502508015311,3.04566646211448,-1.04974919846894
"n = 2000, SD = 45",1005,48.5938912450797,3.09577330072238,-1.40610875492031
