"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.7163150160564,2.46826663144801,-1.28368498394364
"n = 500, SD = 1",248,48.4612320046861,3.04462322436474,-1.53876799531392
"n = 500, SD = 1",248,48.4442295397499,3.12688494021598,-1.55577046025012
"n = 500, SD = 45",500,48.8910520469573,4.72521185688427,-1.1089479530427
"n = 500, SD = 45",231,48.5513794566643,6.71005058532891,-1.4486205433357
"n = 500, SD = 45",231,48.5862856464188,6.7317637795872,-1.41371435358121
"n = 2000, SD = 1",2000,49.5427022623702,1.14743438944491,-0.457297737629831
"n = 2000, SD = 1",1023,49.3027393405876,1.45554673204433,-0.697260659412392
"n = 2000, SD = 1",1023,49.3123722619866,1.55231649899733,-0.687627738013376
"n = 2000, SD = 45",2000,49.3664100943645,2.4681308585749,-0.63358990563554
"n = 2000, SD = 45",1005,49.2176385423069,3.32681593449565,-0.782361457693126
"n = 2000, SD = 45",1005,49.2391585064761,3.39215688648759,-0.760841493523879
