"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.6503860338596,0.815494914636659,-1.34961396614043
"n = 500, SD = 1",298,49.1303691984625,1.23484594515016,-0.869630801537454
"n = 500, SD = 1",298,49.1397921237377,1.34172878252515,-0.860207876262251
"n = 500, SD = 45",500,48.0262824089004,4.31271288381624,-1.9737175910996
"n = 500, SD = 45",301,48.8982528638433,5.50826420296868,-1.10174713615672
"n = 500, SD = 45",301,48.9173943033495,5.51867422298524,-1.08260569665045
"n = 2000, SD = 1",2000,49.5506617099462,0.241277244938062,-0.44933829005382
"n = 2000, SD = 1",1227,49.8976024872241,0.434495360092454,-0.102397512775933
"n = 2000, SD = 1",1227,49.9923314042459,0.507545835292767,-0.00766859575412017
"n = 2000, SD = 45",2000,49.1877386289934,2.07389087907742,-0.812261371006559
"n = 2000, SD = 45",1210,50.1074964787402,2.80697884245631,0.10749647874016
"n = 2000, SD = 45",1210,50.1408898039332,2.83662456568449,0.140889803933201
