"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.6462663036798,2.47411371644964,-1.35373369632018
"n = 500, SD = 1",298,58.3791032513402,3.05322528866649,8.37910325134016
"n = 500, SD = 1",298,58.6797181168604,3.0844765765833,8.6797181168604
"n = 500, SD = 45",500,48.6615984577134,4.95762723755534,-1.33840154228657
"n = 500, SD = 45",301,58.5836078333704,5.99578264932727,8.58360783337036
"n = 500, SD = 45",301,58.7420931977849,6.03088373259611,8.74209319778487
"n = 2000, SD = 1",2000,49.5279902695357,1.15304343585207,-0.472009730464345
"n = 2000, SD = 1",1227,59.499268039373,1.641518763605,9.49926803937305
"n = 2000, SD = 1",1227,60.0698546046092,1.69453453442514,10.0698546046092
"n = 2000, SD = 45",2000,49.2886885400435,2.41980179104625,-0.71131145995648
"n = 2000, SD = 45",1210,59.0874305409654,3.12642311606768,9.08743054096541
"n = 2000, SD = 45",1210,59.4481565915379,3.15194836735878,9.44815659153793
