"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.6739505978045,0.821099084528317,-1.3260494021955
"n = 500, SD = 1",301,48.8607805409306,1.24266629756836,-1.13921945906941
"n = 500, SD = 1",301,48.7057461800001,1.42952577755489,-1.29425381999991
"n = 500, SD = 45",500,48.225290859959,4.3117867956512,-1.77470914004101
"n = 500, SD = 45",281,48.6985003859949,5.62888039848076,-1.30149961400509
"n = 500, SD = 45",281,48.5817805949994,5.65203021735258,-1.41821940500063
"n = 2000, SD = 1",2000,49.5432882930277,0.239396302622281,-0.4567117069723
"n = 2000, SD = 1",1194,49.5906951976186,0.371155226119107,-0.409304802381431
"n = 2000, SD = 1",1194,49.5803427214427,0.474303595628671,-0.419657278557268
"n = 2000, SD = 45",2000,49.0184777695547,2.12437103894742,-0.981522230445262
"n = 2000, SD = 45",1187,49.6331711280346,2.70438307654164,-0.366828871965405
"n = 2000, SD = 45",1187,49.4561738538752,2.77878417119237,-0.543826146124767
