"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.8103267869809,2.53884988011195,-1.18967321301911
"n = 500, SD = 1",301,52.4045876767866,2.98147942243748,2.40458767678664
"n = 500, SD = 1",301,52.5826969909573,3.06597198219907,2.58269699095728
"n = 500, SD = 45",500,48.8080539877374,4.79308826925791,-1.1919460122626
"n = 500, SD = 45",281,52.5470949924945,6.25540449482344,2.54709499249448
"n = 500, SD = 45",281,52.6599588657756,6.26818886618051,2.65995886577556
"n = 2000, SD = 1",2000,49.4569609296807,1.22084656024751,-0.543039070319265
"n = 2000, SD = 1",1194,52.8344591009583,1.54541521963445,2.83445910095826
"n = 2000, SD = 1",1194,53.1366382504475,1.65944564013717,3.13663825044747
"n = 2000, SD = 45",2000,49.1992307709897,2.42716289956803,-0.800769229010341
"n = 2000, SD = 45",1187,53.073716906583,3.01261661572803,3.07371690658299
"n = 2000, SD = 45",1187,53.2958049697408,3.05680181109217,3.29580496974079
