"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.4449545029755,0.821053560770872,-1.55504549702454
"n = 500, SD = 1",248,47.4890829715998,1.35740435377853,-2.5109170284002
"n = 500, SD = 1",248,47.01012261306,1.82600103332878,-2.98987738694
"n = 500, SD = 45",500,47.875246112442,4.30612014093402,-2.12475388755798
"n = 500, SD = 45",231,47.3414982480804,6.25310377752914,-2.65850175191964
"n = 500, SD = 45",231,47.0053425073318,6.84800664783501,-2.99465749266815
"n = 2000, SD = 1",2000,49.692308566309,0.255338884151937,-0.307691433691025
"n = 2000, SD = 1",1023,49.4877584887938,0.46238294617767,-0.512241511206243
"n = 2000, SD = 1",1023,49.2675322950649,0.66001354138725,-0.732467704935074
"n = 2000, SD = 45",2000,48.662803610136,2.17316473210864,-1.33719638986397
"n = 2000, SD = 45",1005,48.65793210283,3.30271473693695,-1.34206789717001
"n = 2000, SD = 45",1005,48.4274829345313,3.77082167647804,-1.57251706546871
