"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.9897941737061,2.40204954725486,-1.01020582629395
"n = 500, SD = 1",248,48.581677941131,3.35026869682793,-1.41832205886896
"n = 500, SD = 1",248,48.5751176612625,3.61036356531658,-1.42488233873749
"n = 500, SD = 45",500,48.1482835340881,4.76438353683471,-1.85171646591187
"n = 500, SD = 45",231,47.9222741232743,6.77292216069929,-2.07772587672567
"n = 500, SD = 45",231,47.9429134851074,6.98432372140199,-2.05708651489258
"n = 2000, SD = 1",2000,49.7977022127419,1.19528075227308,-0.202297787258148
"n = 2000, SD = 1",1023,49.7177636616601,1.64091027696341,-0.282236338339874
"n = 2000, SD = 1",1023,49.7366811218128,1.82724402161993,-0.26331887818718
"n = 2000, SD = 45",2000,48.9205219063778,2.44113712461689,-1.07947809362221
"n = 2000, SD = 45",1005,49.2311097554648,3.62742078924878,-0.768890244535209
"n = 2000, SD = 45",1005,49.2602366915822,3.82587973126273,-0.739763308417801
