"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.8180471552277,0.864622592004081,-1.18195284477234
"n = 500, SD = 1",298,48.4823694952396,1.32709680182015,-1.51763050476039
"n = 500, SD = 1",298,48.4934075273743,1.49241806273261,-1.50659247262573
"n = 500, SD = 45",500,47.526905248497,4.41873270027214,-2.47309475150299
"n = 500, SD = 45",301,48.107011091764,5.91417835630383,-1.89298890823597
"n = 500, SD = 45",301,48.4505214928055,6.13378214679324,-1.54947850719452
"n = 2000, SD = 1",2000,49.6873489445171,0.259640665485883,-0.312651055482864
"n = 2000, SD = 1",1227,49.8966004805022,0.457428798448109,-0.103399519497785
"n = 2000, SD = 1",1227,49.9424437636509,0.54225057897452,-0.0575562363491053
"n = 2000, SD = 45",2000,49.2281302762082,2.16834968014208,-0.771869723791756
"n = 2000, SD = 45",1210,49.4302837290803,3.06123904799145,-0.569716270919693
"n = 2000, SD = 45",1210,49.5457463466201,3.23820654789032,-0.454253653379906
