"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.2364343999634,2.45361755070491,-0.763565600036621
"n = 500, SD = 1",298,57.570803384083,3.28251443816869,7.57080338408295
"n = 500, SD = 1",298,58.0900007468948,3.4115790772407,8.09000074689484
"n = 500, SD = 45",500,47.8909641371002,5.02158029890155,-2.10903586289978
"n = 500, SD = 45",301,56.667178973381,6.25453289339393,6.667178973381
"n = 500, SD = 45",301,56.9779847146912,6.31807855208577,6.97798471469116
"n = 2000, SD = 1",2000,49.8061014401226,1.18896368603794,-0.193898559877396
"n = 2000, SD = 1",1227,58.4361634213654,1.57388719782421,8.43616342136539
"n = 2000, SD = 1",1227,59.1108688845882,1.65431047846663,9.11086888458824
"n = 2000, SD = 45",2000,48.867263950531,2.33781233663592,-1.13273604946899
"n = 2000, SD = 45",1210,58.0111208206835,3.34186587769218,8.0111208206835
"n = 2000, SD = 45",1210,58.7093334045499,3.39954446595285,8.70933340454993
