"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,48.672420389534,0.851786924813947,-1.327579610466
"n = 500, SD = 1",301,48.1417292144248,1.29423929370167,-1.85827078557522
"n = 500, SD = 1",301,47.9365402121353,1.59390747575034,-2.06345978786469
"n = 500, SD = 45",500,47.7229754472198,4.38026258535481,-2.27702455278015
"n = 500, SD = 45",281,47.5936570910344,5.82876236787921,-2.40634290896556
"n = 500, SD = 45",281,47.8135364003754,6.18113931254707,-2.18646359962463
"n = 2000, SD = 1",2000,49.6851539914379,0.252969327847947,-0.314846008562088
"n = 2000, SD = 1",1194,49.7252395203135,0.391865477405607,-0.274760479686532
"n = 2000, SD = 1",1194,49.6582665645294,0.506076280068546,-0.341733435470581
"n = 2000, SD = 45",2000,48.6236603497639,2.14529235925627,-1.37633965023613
"n = 2000, SD = 45",1187,49.0988221685196,2.90709583128228,-0.901177831480442
"n = 2000, SD = 45",1187,49.0239592805995,3.26116709971691,-0.976040719400472
