"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,49.3727622352219,2.58853090526639,-0.627237764778137
"n = 500, SD = 1",301,52.2436679591674,3.12404182642248,2.24366795916738
"n = 500, SD = 1",301,52.6442460985107,3.35548570429918,2.64424609851074
"n = 500, SD = 45",500,48.0798939997177,4.83323215477213,-1.92010600028229
"n = 500, SD = 45",281,51.1313514158473,6.3535729860225,1.13135141584735
"n = 500, SD = 45",281,51.3404218419342,6.44493148600487,1.3404218419342
"n = 2000, SD = 1",2000,49.7397677968445,1.25378028336387,-0.260232203155518
"n = 2000, SD = 1",1194,53.064844037947,1.5796332061557,3.06484403794703
"n = 2000, SD = 1",1194,53.5215162437897,1.76127866112401,3.52151624378967
"n = 2000, SD = 45",2000,48.757053709074,2.39087352945256,-1.24294629092598
"n = 2000, SD = 45",1187,52.6503329979808,3.20705536084991,2.65033299798082
"n = 2000, SD = 45",1187,53.118815968067,3.33495287430282,3.11881596806696
